,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
28,Sarangani,11,PH,1556907480,72,5.4,125.46,83.68,5.5
29,Butaritari,96,KI,1556907480,79,3.07,172.79,83.5,13.27
30,Bathsheba,40,BB,1556902800,58,13.22,-59.52,87.8,24.16
31,Hasaki,75,JP,1556907323,93,35.73,140.83,59.0,4.7
32,Port Alfred,45,ZA,1556907432,86,-33.59,26.89,61.0,1.99
33,Saint-Pierre,75,FR,1556907425,76,48.95,4.24,55.4,3.36
34,Goderich,100,CA,1556907434,89,43.74,-81.71,48.99,1.01
35,Samarai,100,PG,1556907483,97,-10.62,150.67,74.68,3.4
36,Flinders,0,AU,1556907428,100,-34.58,150.85,64.99,6.93
37,Fairbanks,90,US,1556907415,80,64.84,-147.72,37.0,9.17
38,Arraial do Cabo,40,BR,1556902800,79,-22.97,-42.02,87.8,18.34
39,Teguldet,5,RU,1556907484,60,57.31,88.17,37.42,5.32
40,Marathon,75,CA,1556902800,39,48.72,-86.38,42.8,3.36
41,Mwene-Ditu,86,CD,1556907485,68,-7.01,23.45,75.4,2.75
42,Logrono,90,ES,1556907153,76,42.47,-2.45,48.2,8.05
43,Norman Wells,75,CA,1556902800,67,65.28,-126.83,19.4,6.93
44,Cape Town,75,ZA,1556907324,67,-33.93,18.42,62.01,4.7
45,Ucluelet,40,CA,1556907188,76,48.94,-125.55,62.01,9.17
46,Santa Barbara,90,US,1556907361,72,34.42,-119.7,70.0,8.05
47,Berdigestyakh,0,RU,1556907487,93,62.1,126.7,23.2,6.93
48,Tiksi,47,RU,1556907487,86,71.64,128.87,9.52,17.22
49,Albany,90,US,1556907388,87,42.65,-73.75,61.0,11.41
50,Kupang,3,ID,1556907488,77,-10.16,123.6,82.24,12.44
51,Jamestown,7,AU,1556907353,93,-33.21,138.6,51.64,2.55
52,Constitucion,90,MX,1556907017,7,23.99,-104.67,72.0,3.36
53,Tura,100,IN,1556907191,88,25.52,90.21,77.38,5.88
54,Ushuaia,40,AR,1556902800,56,-54.81,-68.31,41.0,4.12
55,Lebu,20,ET,1556906400,26,8.96,38.73,69.8,16.11
56,Iqaluit,40,CA,1556907166,79,63.75,-68.52,24.8,13.87
57,Carnarvon,0,ZA,1556907311,35,-30.97,22.13,64.24,8.37
58,Vitim,99,RU,1556907491,84,59.44,112.57,28.06,6.44
59,Casablanca,75,MA,1556907338,77,33.6,-7.62,68.0,11.41
60,Sergeyevka,76,KZ,1556907491,40,53.88,67.42,52.72,14.38
61,Nouadhibou,38,MR,1556902800,60,20.93,-17.03,69.8,21.92
62,Phek,91,IN,1556907492,89,25.7,94.46,72.34,2.26
63,Mataura,100,NZ,1556907006,85,-46.19,168.86,53.01,4.0
64,Cuamba,26,MZ,1556907492,82,-14.8,36.54,68.38,4.65
65,Deniliquin,0,AU,1556907385,88,-35.53,144.96,50.0,5.01
66,Cap Malheureux,75,MU,1556907240,69,-19.98,57.61,77.0,10.29
67,Puerto Ayora,75,EC,1556906504,74,-0.74,-90.35,84.2,6.93
68,Baiyin,0,CN,1556902800,93,36.55,104.13,46.4,4.47
69,Monterey,1,US,1556907425,42,36.6,-121.89,72.0,8.9
70,Shimoda,63,JP,1556906645,89,34.7,138.93,55.99,7.47
71,Sao Joao da Barra,20,BR,1556902800,62,-21.64,-41.05,87.8,13.87
72,Port Elizabeth,40,US,1556907476,77,39.31,-74.98,66.99,4.7
73,Araouane,0,ML,1556907496,11,18.9,-3.53,99.52,10.33
74,Esperance,40,TT,1556907448,55,10.24,-61.45,87.8,19.46
75,Yongan,93,CN,1556907496,30,39.7,113.69,57.76,4.38
76,Omboue,85,GA,1556907497,82,-1.57,9.26,82.78,12.59
77,Qingdao,0,CN,1556902800,39,36.09,120.35,66.2,6.71
78,Kelowna,1,CA,1556906829,41,49.89,-119.5,60.01,3.36
79,Airai,19,TL,1556907497,80,-8.93,125.41,74.68,5.3
80,Buin,75,CL,1556907288,33,-33.73,-70.74,71.6,6.93
81,Khatanga,0,RU,1556907498,90,71.98,102.47,10.96,9.15
82,Nago,40,IT,1556907495,67,45.88,10.89,62.6,4.7
83,Komsomolskiy,100,RU,1556907499,92,67.55,63.78,30.76,11.05
84,Calabozo,66,VE,1556907499,29,8.92,-67.43,99.7,8.75
85,Rikitea,100,PF,1556907499,73,-23.12,-134.97,77.02,15.97
86,Galeana,66,MX,1556907316,45,24.83,-100.08,73.99,1.01
87,Plainview,90,US,1556907149,100,34.18,-101.71,69.01,5.82
88,Flin Flon,90,CA,1556902800,86,54.77,-101.88,30.2,10.29
89,Pevek,0,RU,1556907500,86,69.7,170.27,20.86,0.49
90,Puerto del Rosario,75,ES,1556904600,52,28.5,-13.86,69.8,14.99
91,Ostrovnoy,100,RU,1556907501,97,68.05,39.51,28.6,18.37
92,Upington,0,ZA,1556906400,14,-28.46,21.24,68.0,5.82
93,Mocuba,1,MZ,1556907501,93,-16.84,36.99,67.66,2.28
94,Agadez,1,NE,1556906160,6,16.97,7.99,107.6,4.25
95,Chibombo,36,ZM,1556907502,76,-14.68,28.09,65.5,3.56
96,Ketchikan,90,US,1556902560,87,55.34,-131.65,48.2,8.05
97,Atuona,0,PF,1556907307,75,-9.8,-139.03,83.68,15.17
98,Sitka,100,US,1556907372,98,37.17,-99.65,57.0,4.0
99,Hithadhoo,100,MV,1556907503,78,-0.6,73.08,83.68,7.29
100,Nantucket,90,US,1556907375,76,41.28,-70.1,55.0,8.05
101,Flagstaff,1,US,1556907219,18,35.2,-111.65,73.4,5.82
102,Atambua,3,ID,1556907504,73,-9.11,124.89,82.42,9.66
103,Ust-Maya,100,RU,1556907504,92,60.42,134.54,31.66,11.14
104,Mehamn,75,NO,1556902200,68,71.03,27.85,30.2,11.41
105,Vaini,100,IN,1556907505,80,15.34,74.49,75.22,1.74
106,Bethel,90,US,1556905380,93,60.79,-161.76,37.4,17.22
107,Caravelas,100,BR,1556907506,67,-17.73,-39.27,84.4,7.72
108,Westport,17,IE,1556907423,73,53.8,-9.52,46.99,3.0
109,Okhotsk,0,RU,1556907506,86,59.36,143.24,35.26,1.32
110,Qaanaaq,100,GL,1556907507,92,77.48,-69.36,27.34,3.36
111,Cascais,0,PT,1556907351,43,38.7,-9.42,80.6,13.87
112,Yulara,0,AU,1556902800,57,-25.24,130.99,51.8,6.93
113,Geraldton,90,CA,1556906400,52,49.72,-86.95,46.4,4.7
114,Vila Velha,40,BR,1556907496,58,-3.71,-38.6,87.8,18.34
115,Adrar,0,DZ,1556902800,9,27.87,-0.29,93.2,19.46
116,Ponta do Sol,100,BR,1556907508,75,-20.63,-46.0,76.66,4.03
117,Avera,75,US,1556907486,61,33.19,-82.53,87.01,3.36
118,Igarka,100,RU,1556907509,96,67.47,86.57,29.14,4.18
119,Viedma,0,AR,1556907239,37,-40.81,-62.99,60.28,11.03
120,Phalombe,41,MW,1556907509,94,-15.81,35.65,62.8,3.49
121,Fengzhen,98,CN,1556907510,28,40.43,113.15,55.24,7.09
122,Thompson,90,CA,1556904720,77,55.74,-97.86,32.0,8.05
123,Jingdezhen,100,CN,1556907510,55,29.29,117.2,61.36,4.21
124,Dikson,47,RU,1556907511,93,73.51,80.55,10.06,5.12
125,Hilo,40,US,1556907207,83,19.71,-155.08,75.0,2.28
126,Zagreb,0,HR,1556907480,67,45.81,15.98,59.0,5.82
127,Radchenko,89,RU,1556907511,59,56.68,36.37,46.78,6.44
128,Udachnyy,0,RU,1556902800,67,66.42,112.4,23.0,6.71
129,Karpathos,20,GR,1556904000,72,35.51,27.21,64.4,12.75
130,Cockburn Town,22,TC,1556907379,80,21.46,-71.14,79.36,20.11
131,Sakaiminato,75,JP,1556907219,82,35.55,133.23,57.2,3.36
132,Belaya Gora,100,RU,1556907513,90,68.54,146.19,23.92,2.95
133,Banda Aceh,93,ID,1556907374,76,5.56,95.32,85.3,10.29
134,Quchan,1,IR,1556907513,43,37.11,58.51,59.56,6.46
135,Mulki,75,PL,1556907486,75,49.81,20.51,50.0,5.82
136,Aras,2,YE,1556907514,35,14.28,44.38,76.48,6.46
137,Yelanskiy,100,RU,1556907514,83,56.84,62.5,47.68,4.27
138,Singaparna,78,ID,1556907514,97,-7.35,108.11,71.98,2.21
139,Southbridge,90,US,1556907496,63,42.08,-72.03,61.0,8.05
140,Hovd,40,NO,1556907318,48,63.83,10.7,41.0,20.8
141,Kaitangata,96,NZ,1556907515,55,-46.28,169.85,49.48,5.03
142,Vao,98,EE,1556907515,68,59.1,26.19,33.28,11.12
143,San Quintin,0,PH,1556907516,73,17.54,120.52,77.56,2.68
144,Karratha,0,AU,1556907516,39,-20.74,116.85,77.74,4.81
145,Kahului,75,US,1556907429,94,20.89,-156.47,73.0,8.05
146,Lagoa,20,PT,1556907440,77,37.14,-8.45,68.0,12.75
147,Kaspi,0,GE,1556904600,67,41.93,44.42,57.2,25.28
148,Souillac,0,FR,1556907489,59,45.6,-0.6,60.8,10.29
149,Omsukchan,100,RU,1556907519,97,62.53,155.8,24.28,4.94
150,Rivadavia,84,AR,1556907519,18,-31.53,-68.59,71.98,7.29
151,Sinnamary,25,GF,1556907520,80,5.38,-52.96,82.06,16.33
152,Ahuimanu,40,US,1556907130,78,21.44,-157.84,75.2,3.71
153,Pisco,90,PE,1556907382,30,-13.71,-76.2,71.6,6.93
154,Diego de Almagro,14,CL,1556907522,48,-26.39,-70.05,72.7,7.81
155,Yar-Sale,100,RU,1556907523,95,66.83,70.83,26.26,7.34
156,Port Blair,100,IN,1556907436,78,11.67,92.75,85.66,14.43
157,Washington DC.,40,US,1556907221,73,38.9,-77.04,82.99,11.41
158,Alofi,75,NU,1556902800,88,-19.06,-169.92,77.0,10.29
159,Swansea,20,GB,1556907354,66,51.62,-3.95,57.99,13.87
160,Hamilton,20,BM,1556906100,69,32.3,-64.78,75.2,10.29
161,Sanski Most,20,BA,1556904600,45,44.77,16.67,64.4,6.93
162,Kununurra,75,AU,1556904600,66,-15.77,128.74,84.2,5.82
163,Avarua,100,CK,1556904600,83,-21.21,-159.78,78.8,18.34
164,Pacific Grove,1,US,1556907337,45,36.62,-121.92,71.01,8.9
165,Puerto Escondido,5,MX,1556901660,70,15.86,-97.07,84.2,11.41
166,Zapolyarnyy,75,RU,1556904000,63,69.43,30.82,30.2,11.41
167,Cherskiy,68,RU,1556907526,88,68.75,161.3,29.14,3.04
168,Severo-Kurilsk,99,RU,1556907527,80,50.68,156.12,37.42,19.37
169,Kaspiyskiy,13,RU,1556907527,63,45.39,47.37,63.52,11.81
170,Vestmannaeyjar,75,IS,1556902800,80,63.44,-20.27,39.2,17.22
171,Benghazi,100,LY,1556907266,54,32.12,20.07,68.92,8.79
172,Simoes,26,BR,1556907528,46,-7.6,-40.82,89.26,4.56
173,Clyde River,90,CA,1556906400,100,70.47,-68.59,24.8,4.7
174,Salalah,20,OM,1556902200,79,17.01,54.1,86.0,5.82
175,Sayville,90,US,1556907325,87,40.74,-73.08,55.0,6.93
176,Ribeira Grande,75,PT,1556904600,93,38.52,-28.7,60.8,8.05
177,Luderitz,0,NA,1556902800,82,-26.65,15.16,62.6,11.41
178,Margate,20,AU,1556907444,71,-43.03,147.26,52.0,8.05
179,Amahai,100,ID,1556907530,83,-3.31,129.0,79.18,2.42
180,Te Anau,100,NZ,1556907530,91,-45.41,167.72,51.64,4.99
181,Aklavik,20,CA,1556906400,45,68.22,-135.01,24.8,5.82
182,Tromso,75,NO,1556905800,78,69.65,18.96,32.0,17.22
183,Kota Belud,75,MY,1556906417,78,6.35,116.43,82.4,4.7
184,Isla Mujeres,40,MX,1556907186,70,21.23,-86.73,86.0,17.22
185,Barrow,2,AR,1556907531,41,-38.31,-60.23,65.14,3.58
186,Georgetown,75,GY,1556902800,88,6.8,-58.16,86.0,17.22
187,Lac du Bonnet,100,CA,1556907403,87,50.25,-96.06,46.99,8.99
188,Mutsu,20,JP,1556907011,52,41.29,141.2,46.4,1.12
189,Fortuna,40,ES,1556907518,63,38.18,-1.13,64.99,10.29
190,Ilulissat,75,GL,1556905800,37,69.22,-51.1,51.8,14.99
191,Sharjah,0,AE,1556904600,61,25.36,55.39,86.0,3.36
192,Huilong,46,CN,1556907535,76,28.89,110.18,59.56,1.66
193,Saint-Philippe,90,CA,1556907497,93,45.36,-73.48,53.01,5.82
194,Ipixuna,40,BR,1556902800,62,-1.76,-48.8,87.8,9.17
195,Maddur,100,IN,1556907535,64,12.58,77.04,79.18,11.74
196,Nanortalik,100,GL,1556907536,68,60.14,-45.24,40.66,13.96
197,Poum,75,MK,1556904600,78,41.28,20.71,55.4,2.24
198,Chepareria,52,KE,1556907536,54,1.32,35.2,72.7,3.53
199,Chernyshevskiy,0,RU,1556907537,90,63.01,112.47,22.66,6.33
200,Xinyang,62,CN,1556907537,58,32.13,114.07,64.06,3.22
201,Nome,1,US,1556907531,65,30.04,-94.42,80.6,10.29
202,Oktyabrskiy,40,RU,1556906707,62,55.61,37.97,53.6,17.9
203,Sur,0,OM,1556907538,32,22.57,59.53,86.2,3.56
204,Mayo,40,CA,1556906400,37,63.59,-135.9,32.0,5.82
205,Crotone,40,IT,1556902200,72,39.09,17.12,60.8,9.17
206,San Ramon,75,NI,1556902800,69,12.92,-85.84,77.0,13.87
207,Svetlogorsk,89,RU,1556904600,28,53.14,59.15,55.4,20.13
208,Chuy,48,UY,1556907540,75,-33.69,-53.46,70.72,7.45
209,Tasiilaq,75,GL,1556905800,55,65.61,-37.64,35.6,5.82
210,Ambulu,12,ID,1556907541,83,-8.35,113.61,79.18,6.22
211,Kavieng,100,PG,1556907541,82,-2.57,150.8,82.24,19.84
212,Yurino,75,RU,1556904600,67,56.29,46.29,59.0,11.18
213,Youkounkoun,6,GN,1556907542,15,12.53,-13.12,103.48,4.38
214,Songkhla,75,TH,1556904600,94,7.2,100.6,78.8,3.83
215,Rawson,0,AR,1556907542,40,-43.3,-65.11,51.46,5.55
216,Murakami,0,JP,1556907543,67,38.29,139.58,48.94,4.34
217,Antalaha,25,MG,1556907543,99,-14.9,50.28,66.94,2.51
218,Xining,73,CN,1556907543,67,36.62,101.77,46.6,4.65
219,Berlevag,90,NO,1556902200,92,70.86,29.09,30.2,6.93
220,Merced,5,US,1556907533,29,37.3,-120.48,78.01,5.59
221,Campbell River,75,CA,1556907391,50,50.02,-125.24,57.2,11.41
222,Saint-Joseph,92,FR,1556907487,67,43.56,6.97,66.2,3.36
223,Rio Gallegos,0,AR,1556902800,60,-51.62,-69.22,41.0,10.29
224,Cabo San Lucas,40,MX,1556907368,17,22.89,-109.91,87.8,8.05
225,Camocim,26,BR,1556907546,83,-2.9,-40.84,84.4,5.59
226,Aykhal,0,RU,1556902800,67,65.95,111.51,23.0,6.71
227,Batagay-Alyta,46,RU,1556907546,79,67.8,130.41,9.7,5.08
228,Kalawit,3,PH,1556907547,89,7.91,122.53,76.3,1.07
229,Terrak,20,NO,1556907302,51,65.09,12.37,39.2,17.22
230,Hanting,100,CN,1556907547,47,30.92,118.55,60.64,8.16
231,Kharp,94,RU,1556907548,96,66.82,65.8,23.92,4.54
232,Tambun,75,MY,1556902800,88,4.62,101.14,82.4,3.06
233,Teya,75,MX,1556907355,44,21.05,-89.07,97.0,11.41
234,Bage,90,NG,1556907549,48,10.95,11.38,88.54,19.13
235,Breves,96,BR,1556907549,81,-1.68,-50.48,85.3,3.78
236,Bani,2,PH,1556907549,79,15.89,120.27,79.72,2.13
237,Luganville,95,VU,1556907549,91,-15.51,167.18,70.36,6.33
238,Igboho,95,NG,1556907550,78,8.84,3.76,81.7,4.9
239,Tchollire,100,CM,1556907550,30,8.4,14.17,97.18,4.5
240,Guadalupe y Calvo,100,MX,1556907550,19,26.09,-106.96,70.0,10.16
241,Murdochville,89,CA,1556907551,49,48.96,-65.49,51.28,5.1
242,Oussouye,0,SN,1556906400,69,12.49,-16.54,84.2,11.41
243,Chumikan,100,RU,1556907551,97,54.72,135.31,29.5,4.21
244,Erzin,75,TR,1556906890,67,36.95,36.2,66.2,4.7
245,Fallon,1,US,1556906160,44,46.84,-105.12,57.2,13.87
246,Sabratah,50,LY,1556907552,27,32.79,12.49,85.84,20.67
247,Motygino,23,RU,1556907552,90,58.18,94.69,30.76,3.53
248,Bambous Virieux,75,MU,1556907540,69,-20.34,57.76,77.0,10.29
249,The Valley,20,AI,1556907385,61,18.22,-63.06,84.2,18.34
250,Bukene,73,TZ,1556907553,90,-4.23,32.89,67.48,3.83
251,Cacule,47,BR,1556907553,50,-14.5,-42.22,84.22,7.87
252,Mahebourg,75,MU,1556907540,69,-20.41,57.7,77.0,10.29
253,Chokurdakh,100,RU,1556907554,90,70.62,147.9,23.74,8.39
254,Forio,75,IT,1556907549,72,40.73,13.86,64.4,5.82
255,Aksarka,100,RU,1556907555,97,66.56,67.8,30.4,7.29
256,Shingu,35,JP,1556907556,66,33.72,135.99,46.78,4.34
257,Tuatapere,97,NZ,1556907006,85,-46.13,167.69,53.01,4.0
258,Ayr,40,GB,1556907375,70,55.46,-4.63,46.99,3.36
259,Odessa,75,US,1556907397,68,31.85,-102.37,78.01,4.7
260,Tuktoyaktuk,20,CA,1556906400,78,69.44,-133.03,14.0,11.41
261,Longyearbyen,20,NO,1556905800,67,78.22,15.63,19.4,12.75
262,Bilma,1,NE,1556907559,10,18.69,12.92,89.62,2.1
263,Lata,28,IN,1556907559,66,30.78,78.62,22.3,12.1
264,Monte Alegre,74,BR,1556907560,86,-2.0,-54.07,83.86,4.36
265,Isangel,3,VU,1556907560,69,-19.55,169.27,77.74,21.88
266,Ixtapa,20,MX,1556907317,54,20.71,-105.21,81.0,8.05
267,Nanakuli,1,US,1556907460,83,21.39,-158.15,75.2,3.36
268,Port Pirie,40,AU,1556902800,93,-33.18,138.01,51.8,5.82
269,Sorong,99,ID,1556907562,94,-0.86,131.25,76.66,1.77
270,Saskylakh,0,RU,1556907563,92,71.97,114.09,0.16,3.29
271,Nyurba,1,RU,1556907564,89,63.29,118.35,25.0,5.73
272,Port Hawkesbury,1,CA,1556907532,43,45.62,-61.36,55.99,12.75
273,Barcelos,0,PT,1556907318,60,41.53,-8.62,78.01,13.87
274,Quatre Cocos,75,MU,1556907540,69,-20.21,57.76,77.0,10.29
275,Halifax,75,CA,1556907167,50,44.65,-63.58,60.01,14.99
276,Noumea,40,NC,1556904600,82,-22.28,166.46,64.4,24.96
277,Kurduvadi,92,IN,1556907565,36,18.09,75.41,84.04,16.08
278,San Francisco,1,US,1556907305,82,37.78,-122.42,71.01,6.93
279,Brae,81,GB,1556904000,80,60.4,-1.35,44.6,23.04
280,Fomboni,54,KM,1556907568,79,-12.28,43.74,82.78,12.84
281,Dwarka,75,IN,1556907308,42,28.58,77.04,91.0,3.83
282,Saldanha,36,PT,1556907568,44,41.42,-6.55,67.48,3.29
283,Ahipara,0,NZ,1556907314,100,-35.17,173.16,50.0,7.72
284,Torbay,75,CA,1556907519,65,47.66,-52.73,42.01,19.46
285,Faanui,90,PF,1556907569,70,-16.48,-151.75,81.34,15.46
286,Svetlaya,28,RU,1556907569,53,46.54,138.33,49.3,5.28
287,Neryungri,83,RU,1556907570,91,56.66,124.71,20.86,11.72
288,Itarema,18,BR,1556907570,83,-2.92,-39.92,83.68,7.76
289,Port Augusta,40,AU,1556907350,93,-32.49,137.76,52.0,5.82
290,Nazarovo,0,RU,1556907571,43,56.01,90.42,41.74,4.68
291,Kavaratti,57,IN,1556907571,68,10.57,72.64,84.4,9.15
292,Pimentel,47,BR,1556907571,56,-3.7,-45.5,89.98,5.17
293,Conchas,77,BR,1556907572,77,-23.02,-48.01,76.84,1.92
294,Menongue,10,AO,1556907572,48,-14.66,17.68,66.04,3.78
295,Sao Filipe,19,CV,1556907572,77,14.9,-24.5,72.16,16.33
296,Tazovskiy,78,RU,1556907573,95,67.47,78.7,15.82,6.11
297,Marsh Harbour,15,BS,1556907573,81,26.54,-77.06,78.64,12.41
298,Juba,66,EE,1556907269,60,57.82,26.93,39.2,16.11
299,Pangnirtung,75,CA,1556906400,92,66.15,-65.72,26.6,9.17
300,Laguna,75,MX,1556901780,13,27.52,-110.01,86.0,2.24
301,Nikolskoye,90,RU,1556907433,64,59.7,30.79,37.99,8.95
302,Toora-Khem,0,RU,1556907575,55,52.47,96.11,26.08,1.83
303,Narsaq,75,GL,1556905800,34,60.91,-46.05,48.2,49.44
304,Coihaique,75,CL,1556902800,75,-45.58,-72.07,48.2,9.17
305,Sinazongwe,0,ZM,1556907575,55,-17.26,27.46,66.76,4.61
306,Paita,0,PE,1556902800,290,-5.09,-81.11,62.6,16.11
307,Ust-Kuyga,54,RU,1556907576,88,70.0,135.55,22.48,12.57
308,Tongliao,99,CN,1556907576,20,43.61,122.27,68.38,10.69
309,Bubaque,1,GW,1556907577,76,11.28,-15.83,77.02,20.92
310,Whitehorse,90,CA,1556907341,100,60.72,-135.06,33.01,9.17
311,Gornopravdinsk,99,RU,1556907577,90,60.06,69.92,44.26,9.4
312,Sisimiut,10,GL,1556907331,69,66.94,-53.67,38.68,13.2
313,Moron,29,VE,1556907578,47,10.49,-68.2,92.86,7.81
314,Buribay,86,RU,1556907578,44,51.96,58.16,51.46,14.7
315,Shiyan,49,CN,1556907423,73,32.65,110.78,56.14,2.68
316,Tilichiki,49,RU,1556907579,79,60.47,166.1,29.32,9.89
317,Ancud,90,CL,1556902800,100,-41.87,-73.83,48.2,1.12
318,Oxapampa,100,PE,1556907579,98,-10.58,-75.4,49.3,4.32
319,Naze,40,NG,1556902800,70,5.43,7.07,87.8,9.17
320,Portland,40,US,1556907352,62,45.52,-122.67,60.01,3.15
321,Valdivia,90,CL,1556902800,100,-39.81,-73.25,59.0,5.82
322,Mount Gambier,90,AU,1556902800,93,-37.83,140.78,51.8,8.05
323,Ribas do Rio Pardo,100,BR,1556907581,71,-20.45,-53.76,82.6,9.1
324,San Vicente,20,SV,1556905800,63,13.64,-88.78,91.4,6.93
325,Paamiut,100,GL,1556907582,44,61.99,-49.67,45.88,9.93
326,Santa Maria,75,BR,1556902800,83,-29.69,-53.81,78.8,1.12
327,Lasa,75,CY,1556906400,82,34.92,32.53,66.2,5.82
328,Klaksvik,37,FO,1556905800,59,62.23,-6.59,37.4,19.46
329,Alice Springs,0,AU,1556904600,62,-23.7,133.88,51.8,9.06
330,Jardim,61,BR,1556907585,67,-21.48,-56.15,86.2,8.79
331,Katsuura,40,JP,1556906305,77,33.93,134.5,59.0,6.93
332,Lixourion,20,GR,1556907388,82,38.2,20.43,64.4,11.3
333,Waitati,60,NZ,1556907585,66,-45.75,170.57,55.06,8.37
334,Lorengau,100,PG,1556907586,91,-2.02,147.27,77.92,9.24
335,Havre-Saint-Pierre,1,CA,1556906400,39,50.23,-63.6,46.4,10.29
336,Gat,0,SN,1556906400,60,14.69,-16.54,73.4,17.22
337,Bako,97,NG,1556907587,43,9.68,6.4,91.6,5.01
338,Cumana,75,VE,1556906400,66,10.46,-64.17,91.4,19.04
339,Khuzhir,1,RU,1556907587,62,53.19,107.35,20.68,2.86
340,Tual,100,ID,1556907588,77,-5.67,132.75,82.24,10.13
341,Virginia Beach,1,US,1556907360,42,36.85,-75.98,86.0,12.75
342,Kiunga,100,PG,1556907588,99,-6.12,141.3,71.44,0.34
343,Port-Gentil,40,GA,1556906400,88,-0.72,8.78,82.4,9.17
344,Mildura,0,AU,1556907335,93,-34.18,142.16,51.8,5.82
345,Qaqortoq,75,GL,1556905800,34,60.72,-46.03,48.2,49.44
346,Novato,1,US,1556907404,63,38.11,-122.57,72.0,3.2
347,Outjo,0,NA,1556902800,18,-20.11,16.16,80.6,3.36
348,Tacuarembo,64,UY,1556907590,79,-31.73,-55.98,76.3,9.1
349,Leningradskiy,0,RU,1556907590,76,69.38,178.42,23.92,4.94
350,Bara,76,NG,1556907591,27,10.41,10.6,97.36,9.66
351,Kirakira,34,SB,1556907591,81,-10.46,161.92,80.44,6.13
352,Codrington,100,AU,1556907378,93,-28.95,153.24,69.8,3.6
353,Havelock,20,US,1556907432,69,34.88,-76.9,84.0,11.41
354,Harer,1,US,1556907511,31,42.19,-111.17,57.99,7.49
355,Belmonte,2,PT,1556907515,41,40.36,-7.35,75.0,3.0
356,Quartucciu,40,IT,1556907336,93,39.25,9.18,62.6,4.7
357,Biak,100,ID,1556907593,99,-0.91,122.88,66.94,0.67
358,Dingle,11,PH,1556907593,80,11.0,122.67,77.74,2.06
359,Najran,20,SA,1556902800,14,17.54,44.22,95.0,11.41
360,Vung Tau,87,VN,1556907594,77,10.35,107.08,84.94,9.89
361,Harper,90,US,1556907358,83,30.3,-99.24,73.99,6.93
362,Strezhevoy,75,RU,1556904600,75,60.73,77.6,44.6,17.9
363,Bonavista,50,CA,1556907338,85,48.65,-53.11,37.99,17.0
364,Faya,0,SA,1556902800,28,18.39,42.45,75.2,13.87
365,Eyl,0,SO,1556907596,73,7.98,49.82,83.86,10.31
366,Huzhou,91,CN,1556907300,81,30.86,120.1,57.99,5.97
367,Christchurch,7,NZ,1556907325,93,-43.53,172.64,54.0,10.29
368,Baruun-Urt,100,MN,1556907597,50,46.68,113.28,53.8,13.78
369,Fayaoue,3,NC,1556907597,70,-20.65,166.53,76.48,24.38
370,Caconda,40,AO,1556907597,52,-13.73,15.06,68.2,2.57
371,Birjand,0,IR,1556902800,20,32.86,59.22,66.2,6.93
372,Touros,40,BR,1556902800,62,-5.2,-35.46,87.8,16.11
373,Kaupanger,20,NO,1556904000,34,61.18,7.24,33.8,23.04
374,Honiara,20,SB,1556906400,100,-9.43,159.96,75.2,3.78
375,Mochicahui,90,MX,1556907495,21,25.95,-108.93,86.0,5.06
